DYJetsToLLM10to50_2018/
nentries=1152000 nMax=1152000
nentries=1386000 nMax=1386000
nentries=680000 nMax=680000
nentries=770000 nMax=770000
nentries=841000 nMax=841000
nentries=850000 nMax=850000
nentries=1040000 nMax=1040000
nentries=1122000 nMax=1122000
nentries=1350000 nMax=1350000
nentries=1078000 nMax=1078000
nentries=1316000 nMax=1316000
nentries=1584000 nMax=1584000
nentries=1254000 nMax=1254000
nentries=1347000 nMax=1347000
nentries=1086000 nMax=1086000
ST_tW_antitop_2018/
nentries=3000 nMax=3000
nentries=118000 nMax=118000
nentries=166000 nMax=166000
nentries=20000 nMax=20000
nentries=186000 nMax=186000
nentries=32000 nMax=32000
nentries=521000 nMax=521000
nentries=148000 nMax=148000
nentries=225000 nMax=225000
nentries=350000 nMax=350000
nentries=39000 nMax=39000
nentries=10000 nMax=10000
nentries=24000 nMax=24000
nentries=547000 nMax=547000
nentries=801000 nMax=801000
nentries=955000 nMax=955000
nentries=1166000 nMax=1166000
nentries=717000 nMax=717000
nentries=720000 nMax=720000
nentries=566000 nMax=566000
nentries=167000 nMax=167000
nentries=258000 nMax=258000
nentries=10000 nMax=10000
ST_tW_top_2018/
nentries=255000 nMax=255000
nentries=3000 nMax=3000
nentries=196000 nMax=196000
nentries=19000 nMax=19000
nentries=11000 nMax=11000
nentries=7000 nMax=7000
nentries=11000 nMax=11000
nentries=6000 nMax=6000
nentries=18000 nMax=18000
nentries=179000 nMax=179000
nentries=234000 nMax=234000
nentries=86000 nMax=86000
nentries=301000 nMax=301000
nentries=124000 nMax=124000
nentries=3000 nMax=3000
nentries=18000 nMax=18000
nentries=675000 nMax=675000
nentries=905000 nMax=905000
nentries=648000 nMax=648000
nentries=351000 nMax=351000
nentries=32000 nMax=32000
nentries=9000 nMax=9000
nentries=44000 nMax=44000
nentries=49000 nMax=49000
nentries=84000 nMax=84000
nentries=66000 nMax=66000
nentries=33000 nMax=33000
nentries=39000 nMax=39000
nentries=9000 nMax=9000
nentries=6000 nMax=6000
nentries=82000 nMax=82000
nentries=3000 nMax=3000
nentries=18000 nMax=18000
nentries=76000 nMax=76000
nentries=20000 nMax=20000
nentries=184000 nMax=184000
nentries=6000 nMax=6000
nentries=3000 nMax=3000
nentries=42000 nMax=42000
nentries=644000 nMax=644000
nentries=27000 nMax=27000
nentries=43000 nMax=43000
nentries=132000 nMax=132000
nentries=102000 nMax=102000
nentries=24000 nMax=24000
nentries=26000 nMax=26000
nentries=642000 nMax=642000
nentries=187000 nMax=187000
nentries=673000 nMax=673000
nentries=395000 nMax=395000
nentries=49000 nMax=49000
nentries=157000 nMax=157000
WGToLNuG_2018/
nentries=260976 nMax=260976
nentries=8587 nMax=8587
nentries=243404 nMax=243404
nentries=20595 nMax=20595
nentries=66860 nMax=66860
nentries=91658 nMax=91658
nentries=65825 nMax=65825
nentries=933400 nMax=933400
nentries=1626317 nMax=1626317
nentries=398696 nMax=398696
nentries=37270 nMax=37270
nentries=1662301 nMax=1662301
nentries=597496 nMax=597496
nentries=1654276 nMax=1654276
nentries=976685 nMax=976685
nentries=1205737 nMax=1205737
WJetsToLNu_0J_2018/
nentries=1194270 nMax=1194270
nentries=1701468 nMax=1701468
nentries=2135608 nMax=2135608
nentries=2038051 nMax=2038051
nentries=2069994 nMax=2069994
nentries=1392836 nMax=1392836
nentries=1315153 nMax=1315153
nentries=1392222 nMax=1392222
nentries=1458805 nMax=1458805
nentries=1107418 nMax=1107418
nentries=1095859 nMax=1095859
nentries=1591349 nMax=1591349
nentries=1129246 nMax=1129246
nentries=1460751 nMax=1460751
nentries=1193225 nMax=1193225
nentries=1260458 nMax=1260458
nentries=1790278 nMax=1790278
nentries=1126406 nMax=1126406
nentries=1193565 nMax=1193565
nentries=1591363 nMax=1591363
nentries=1959343 nMax=1959343
nentries=1127236 nMax=1127236
nentries=2128080 nMax=2128080
nentries=1471258 nMax=1471258
nentries=1592247 nMax=1592247
nentries=1790679 nMax=1790679
nentries=1724030 nMax=1724030
nentries=1724462 nMax=1724462
nentries=2122210 nMax=2122210
nentries=2122090 nMax=2122090
nentries=1566008 nMax=1566008
nentries=2161992 nMax=2161992
nentries=1127585 nMax=1127585
nentries=2122152 nMax=2122152
nentries=2121806 nMax=2121806
nentries=2131196 nMax=2131196
nentries=1657450 nMax=1657450
nentries=2121590 nMax=2121590
nentries=2121383 nMax=2121383
nentries=2122349 nMax=2122349
nentries=2121080 nMax=2121080
nentries=1706859 nMax=1706859
nentries=2107587 nMax=2107587
nentries=2120889 nMax=2120889
nentries=1325740 nMax=1325740
nentries=2122810 nMax=2122810
nentries=2119078 nMax=2119078
nentries=2121429 nMax=2121429
nentries=2055518 nMax=2055518
nentries=1392601 nMax=1392601
nentries=1127061 nMax=1127061
nentries=2121098 nMax=2121098
nentries=2122150 nMax=2122150
nentries=1790604 nMax=1790604
nentries=2122190 nMax=2122190
nentries=1924638 nMax=1924638
nentries=1723941 nMax=1723941
nentries=2122684 nMax=2122684
nentries=2019248 nMax=2019248
nentries=1658089 nMax=1658089
nentries=2109687 nMax=2109687
nentries=1788708 nMax=1788708
nentries=1723177 nMax=1723177
nentries=1988727 nMax=1988727
nentries=2122168 nMax=2122168
nentries=1904187 nMax=1904187
nentries=2029180 nMax=2029180
nentries=2121242 nMax=2121242
nentries=1622999 nMax=1622999
nentries=1326298 nMax=1326298
nentries=1657656 nMax=1657656
nentries=2121679 nMax=2121679
nentries=2120110 nMax=2120110
nentries=2121005 nMax=2121005
nentries=257962 nMax=257962
